,uid,majority_label,label_dist,label_count,entropy,old_label,old_labels,premise,hypothesis,n,e,c,ground_truth
3827232520.jpg#2r1n,3827232520.jpg#2r1n,n,"[0.19, 0.81, 0.0]","[19, 81, 0]",0.7014714598838974,n,"['neutral', 'entailment', 'neutral', 'entailment', 'neutral']",A woman in a blue jacket is drinking tea from a cup.,A woman wearing a blue jacket and black pants is drinking tea.,81.0,19.0,0.0,n
1858123511.jpg#4r1c,1858123511.jpg#4r1c,c,"[0.01, 0.34, 0.65]","[1, 34, 65]",0.9995797452811138,c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral']",People working digging a hole.,There are people covering up a hole that someone is stuck inside of.,34.0,1.0,65.0,c
1130017585.jpg#2r1n,1130017585.jpg#2r1n,n,"[0.3, 0.69, 0.01]","[30, 69, 1]",0.9569071359152326,e,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",Three young women pose for the camera at a parade.,Three young women are dressed for the parade.,69.0,30.0,1.0,n
4811454472.jpg#0r1e,4811454472.jpg#0r1e,n,"[0.45, 0.53, 0.02]","[45, 53, 2]",1.1167244555078755,e,"['entailment', 'entailment', 'entailment', 'neutral', 'contradiction']","Four young people stand in a circle conversing, while a man in white button-down shirt, coral colored pants and green hand bandage stands to the side.",The man is excluded from the conversation,53.0,45.0,2.0,e
1796608106.jpg#4r1n,1796608106.jpg#4r1n,c,"[0.0, 0.21, 0.79]","[0, 21, 79]",0.7414827399312738,n,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']",A woman building herself a sand castle.,a women is helping a kid make a sand castle,21.0,0.0,79.0,n
4764082600.jpg#1r1n,4764082600.jpg#1r1n,n,"[0.25, 0.74, 0.01]","[25, 74, 1]",0.8878966517656207,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",The elderly bus driver opening the door for a passenger who needs to get off.,The elderly black driver opens the bus doors.,74.0,25.0,1.0,n
5071819265.jpg#0r1n,5071819265.jpg#0r1n,n,"[0.21, 0.76, 0.03]","[21, 76, 3]",0.9254957457524254,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",A Person in a dark shirt and shorts and a white helmet is jumping a bicycle over a mound of dirt.,A kid jumps a bike over a dirt ramp.,76.0,21.0,3.0,n
4942654560.jpg#0r1n,4942654560.jpg#0r1n,n,"[0.0, 0.9, 0.1]","[0, 90, 10]",0.46899559358928117,n,"['neutral', 'contradiction', 'contradiction', 'neutral', 'neutral']",Two people sit facing away in a downtown scene with a motorcycle parked in front of a pool,The pair have motorcycled down Rt. 1 in CA and are enjoying a quick meal before heading back up the road.,90.0,0.0,10.0,n
4259457716.jpg#2r1n,4259457716.jpg#2r1n,n,"[0.0, 0.62, 0.38]","[0, 62, 38]",0.9580420222262997,n,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']",A fisherman with his friend is setting up his pole.,Two brothers  fishing together for the first time in decades.,62.0,0.0,38.0,n
3005512395.jpg#0r1e,3005512395.jpg#0r1e,e,"[0.79, 0.19, 0.02]","[79, 19, 2]",0.8367631711605321,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']","A young male child, wearing khaki pants and a red striped polo shirt, sitting on a steel slide in a public playground.",A young child playing outdoors.,19.0,79.0,2.0,e
4546261932.jpg#3r1n,4546261932.jpg#3r1n,n,"[0.05, 0.94, 0.01]","[5, 94, 1]",0.3664462644533775,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'entailment']",Reflections of people walking in a big city.,A group of workers walk to their downtown jobs.,94.0,5.0,1.0,n
4546261932.jpg#3r1e,4546261932.jpg#3r1e,e,"[0.83, 0.15, 0.02]","[83, 15, 2]",0.7465398724154994,e,"['entailment', 'neutral', 'contradiction', 'entailment', 'entailment']",Reflections of people walking in a big city.,Several folks stroll through the city.,15.0,83.0,2.0,e
8158019748.jpg#1r1e,8158019748.jpg#1r1e,e,"[0.59, 0.37, 0.04]","[59, 37, 4]",1.1655990453685268,n,"['entailment', 'entailment', 'neutral', 'neutral', 'neutral']",A woman wearing a pink dress with gold around the midsection is standing in between two rows of people at a banquet.,A women in in a room that has food.,37.0,59.0,4.0,e
8158019748.jpg#1r1c,8158019748.jpg#1r1c,c,"[0.0, 0.16, 0.84]","[0, 16, 84]",0.6343095546405662,c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral']",A woman wearing a pink dress with gold around the midsection is standing in between two rows of people at a banquet.,A woman is sitting at a bar eating a hamburger.,16.0,0.0,84.0,c
8158019748.jpg#1r1n,8158019748.jpg#1r1n,n,"[0.07, 0.75, 0.18]","[7, 75, 18]",1.0251408270991653,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']",A woman wearing a pink dress with gold around the midsection is standing in between two rows of people at a banquet.,A woman holding a plate is waiting in line for the food table.,75.0,7.0,18.0,n
7417714642.jpg#0r1n,7417714642.jpg#0r1n,n,"[0.13, 0.81, 0.06]","[13, 81, 6]",0.8724227740365672,e,"['neutral', 'entailment', 'entailment', 'neutral', 'entailment']",A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows.,A bride is taking pictures at a barn.,81.0,13.0,6.0,n
3489084190.jpg#2r1e,3489084190.jpg#2r1e,e,"[0.53, 0.46, 0.01]","[53, 46, 1]",1.0672198490700033,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",A man smiles while he holds a newborn in a church pew.,Someone holding their baby is smiling while sitting down.,46.0,53.0,1.0,e
4556128862.jpg#0r1n,4556128862.jpg#0r1n,n,"[0.22, 0.75, 0.03]","[22, 75, 3]",0.943618340780974,n,"['neutral', 'entailment', 'neutral', 'entailment', 'neutral']","A man is signing a guitar, whose owner is smiling and has a hat with lights attached to it.",A famous singer is autographing a fan's guitar.,75.0,22.0,3.0,n
4556128862.jpg#0r1e,4556128862.jpg#0r1e,e,"[0.77, 0.19, 0.04]","[77, 19, 4]",0.9313243258853694,e,"['entailment', 'entailment', 'neutral', 'neutral', 'entailment']","A man is signing a guitar, whose owner is smiling and has a hat with lights attached to it.",Two people are next to a guitar.,19.0,77.0,4.0,e
2094810449.jpg#1r1n,2094810449.jpg#1r1n,n,"[0.01, 0.92, 0.07]","[1, 92, 7]",0.4456643456582405,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']",The kid is wearing a blue jacket and standing in shallow beach water.,The blue jacket is a life jacket.,92.0,1.0,7.0,n
5511460259.jpg#0r1n,5511460259.jpg#0r1n,n,"[0.01, 0.94, 0.05]","[1, 94, 5]",0.3664462644533775,n,"['neutral', 'neutral', 'neutral', 'contradiction', 'entailment']","Six children at a table with a green tablecloth, five female, one male, looking at the camera, plates and condiments at the table, two empty chairs, and red roses in the background",The kids all have food on their plates.,94.0,1.0,5.0,n
5511460259.jpg#0r1e,5511460259.jpg#0r1e,e,"[0.76, 0.18, 0.06]","[76, 18, 6]",0.989747029254714,e,"['entailment', 'entailment', 'contradiction', 'neutral', 'entailment']","Six children at a table with a green tablecloth, five female, one male, looking at the camera, plates and condiments at the table, two empty chairs, and red roses in the background",Kids are sitting in six of the eight chairs.,18.0,76.0,6.0,e
3504662140.jpg#0r1c,3504662140.jpg#0r1c,c,"[0.0, 0.02, 0.98]","[0, 2, 98]",0.14144054254182067,c,"['contradiction', 'neutral', 'contradiction', 'entailment', 'contradiction']",A woman in a white hat and red dress holding hands with a man in a black jacket with a flower in his upper pocket.,The woman is alone and asleep in the car on the moon.,2.0,0.0,98.0,c
3512033659.jpg#0r1e,3512033659.jpg#0r1e,e,"[0.95, 0.04, 0.01]","[95, 4, 1]",0.3224933618603243,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",A group of woman wearing scarves on their heads crowd together next to a building.,A group of humans standing outside,4.0,95.0,1.0,e
512616265.jpg#0r1c,512616265.jpg#0r1c,n,"[0.24, 0.59, 0.17]","[24, 59, 17]",1.3778371074656033,n,"['contradiction', 'neutral', 'contradiction', 'neutral', 'neutral']","Many people are in a cafeteria or restaurant, there are two workers wearing white and black who are taking their orders.",A restaurant prepares for a busy day.,59.0,24.0,17.0,c
3106022785.jpg#0r1c,3106022785.jpg#0r1c,c,"[0.0, 0.09, 0.91]","[0, 9, 91]",0.4364698170641029,c,"['contradiction', 'entailment', 'contradiction', 'contradiction', 'neutral']","A woman dressed as Dorthy from the Wizard of Oz smiling at a baby, standing above her on a table, dressed as an elephant.",Everybody that is visible is the exact same age.,9.0,0.0,91.0,c
2315593294.jpg#1r1n,2315593294.jpg#1r1n,n,"[0.0, 0.95, 0.05]","[0, 95, 5]",0.2863969571159562,n,"['neutral', 'neutral', 'entailment', 'neutral', 'contradiction']",A man with a crop is trying to stay on a rearing horse.,The man is old,95.0,0.0,5.0,n
3704588601.jpg#1r1c,3704588601.jpg#1r1c,n,"[0.04, 0.62, 0.34]","[4, 62, 34]",1.1425171113097465,c,"['contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral']",Excavation of the ruins of a ancient temple.,People line up at the temple.,62.0,4.0,34.0,c
3704588601.jpg#1r1n,3704588601.jpg#1r1n,n,"[0.15, 0.47, 0.38]","[15, 47, 38]",1.4529533850363947,c,"['neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction']",Excavation of the ruins of a ancient temple.,People leave the ancient temple.,47.0,15.0,38.0,n
514905846.jpg#4r1c,514905846.jpg#4r1c,c,"[0.02, 0.45, 0.53]","[2, 45, 53]",1.1167244555078757,c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'entailment']","A child, wearing a tie, jumps off steps.",The child is playing hopscotch.,45.0,2.0,53.0,c
514905846.jpg#4r1e,514905846.jpg#4r1e,n,"[0.41, 0.56, 0.03]","[41, 56, 3]",1.1475922365074174,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']","A child, wearing a tie, jumps off steps.",A child is playing.,56.0,41.0,3.0,e
4844721608.jpg#0r1n,4844721608.jpg#0r1n,n,"[0.0, 0.95, 0.05]","[0, 95, 5]",0.2863969571159562,n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",A woman in a wheelchair is talking to her friend while surrounded by other people walking in the park.,The woman is wearing a beret.,95.0,0.0,5.0,n
2314377503.jpg#3r1n,2314377503.jpg#3r1n,n,"[0.09, 0.75, 0.16]","[9, 75, 16]",1.0469489217730061,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']",Old man with gray blanket on squatting against a wall,Old man finds the perfect spot to take a nap.,75.0,9.0,16.0,n
3603870481.jpg#3r1c,3603870481.jpg#3r1c,n,"[0.02, 0.62, 0.36]","[2, 62, 36]",1.0710814768156298,c,"['contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction']",A black dog holding an orange object in the water.,A dog is trying to peel an orange in the water.,62.0,2.0,36.0,c
3165123595.jpg#0r1n,3165123595.jpg#0r1n,e,"[0.55, 0.45, 0.0]","[55, 45, 0]",0.9927744539878083,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",Four men in red vests with crosses on them ski on a mountain.,Four men are racing down a mountain on skis while wearing colorful red vests.,45.0,55.0,0.0,n
4953949496.jpg#4r1n,4953949496.jpg#4r1n,e,"[0.81, 0.19, 0.0]","[81, 19, 0]",0.7014714598838974,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",A street vendor selling his art.,An artist is showing off his creations.,19.0,81.0,0.0,n
2634573005.jpg#4r1n,2634573005.jpg#4r1n,n,"[0.1, 0.9, 0.0]","[10, 90, 0]",0.46899559358928117,n,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']",A boy cooking on a grill.,A boy cooking on a grill for a family gathering.,90.0,10.0,0.0,n
3036894037.jpg#1r1c,3036894037.jpg#1r1c,c,"[0.01, 0.12, 0.87]","[1, 12, 87]",0.6082998482997923,c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']",Two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs.,Two unarmed men are held hostage by an empty handed old man.,12.0,1.0,87.0,c
4805382038.jpg#1r1e,4805382038.jpg#1r1e,e,"[0.98, 0.01, 0.01]","[98, 1, 1]",0.16144054254182064,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",A brown-haired lady dressed all in blue denim sits in a group of pigeons.,A lady in blue has birds around her.,1.0,98.0,1.0,e
521297970.jpg#1r1e,521297970.jpg#1r1e,e,"[0.92, 0.06, 0.02]","[92, 6, 2]",0.4670814401590035,e,"['entailment', 'entailment', 'neutral', 'entailment', 'neutral']","An old woman in a sunlit room winds rough yarn into balls, the finished yarn balls placed in a pile to her right.",A woman winds yarn into a balls next to a pile of balls,6.0,92.0,2.0,e
2663670442.jpg#0r1n,2663670442.jpg#0r1n,n,"[0.22, 0.76, 0.02]","[22, 76, 2]",0.8943563234573944,e,"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']",A smiling woman is playing the violin in front of a turquoise background.,A woman is sitting and playing the violin.,76.0,22.0,2.0,n
3067824182.jpg#0r1n,3067824182.jpg#0r1n,n,"[0.0, 0.95, 0.05]","[0, 95, 5]",0.2863969571159562,n,"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']","Two men, both have glasses, are wearing striped shirts are in the kitchen preparing a meal and washing up.",Two men are fixing their wives a romantic dinner for Valentine's Day.,95.0,0.0,5.0,n
4648416380.jpg#0r1n,4648416380.jpg#0r1n,n,"[0.16, 0.84, 0.0]","[16, 84, 0]",0.6343095546405662,n,"['neutral', 'entailment', 'neutral', 'entailment', 'neutral']","Many people are listening to a concert, and TV crew is recording the audience reaction.",People are enjoying a rock concert.,84.0,16.0,0.0,n
4684538785.jpg#1r1e,4684538785.jpg#1r1e,e,"[0.73, 0.24, 0.03]","[73, 24, 3]",0.9773443865976,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']",Four people in emergency suits and helmets spray water from behind a cement wall.,A emergency staff tends to a situation.,24.0,73.0,3.0,e
4684538785.jpg#1r1n,4684538785.jpg#1r1n,n,"[0.39, 0.6, 0.01]","[39, 60, 1]",1.038414967053337,n,"['neutral', 'entailment', 'neutral', 'entailment', 'neutral']",Four people in emergency suits and helmets spray water from behind a cement wall.,Fire fighters are battling a fire safely behind a cement wall.,60.0,39.0,1.0,n
8182074427.jpg#3r1c,8182074427.jpg#3r1c,c,"[0.02, 0.21, 0.77]","[2, 21, 77]",0.876043894656111,n,"['contradiction', 'neutral', 'contradiction', 'neutral', 'neutral']",A female basketball player dribbling down court.,A basketball player is destroying the ball.,21.0,2.0,77.0,c
8182074427.jpg#3r1n,8182074427.jpg#3r1n,e,"[0.75, 0.11, 0.14]","[75, 11, 14]",1.0586750047646467,e,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",A female basketball player dribbling down court.,A female basketball player is going on the court.,11.0,75.0,14.0,n
7760172752.jpg#0r1c,7760172752.jpg#0r1c,c,"[0.09, 0.45, 0.46]","[9, 45, 46]",1.346390546510337,e,"['contradiction', 'neutral', 'entailment', 'entailment', 'entailment']",A man in a dark shirt and overalls is squatting down on gravel and working on a railroad car.,Several men wearing overalls are working on a railroad car while knelling on gravel,45.0,9.0,46.0,c
2835793460.jpg#0r1e,2835793460.jpg#0r1e,e,"[0.89, 0.02, 0.09]","[89, 2, 9]",0.5751601860848226,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']","A young women, in a black shirt, is holding a bike, while a young boy is holding a skateboard.",A young woman is holding a bike while a young man is holding a skateboard.,2.0,89.0,9.0,e
2835793460.jpg#0r1c,2835793460.jpg#0r1c,c,"[0.0, 0.43, 0.57]","[0, 43, 57]",0.9858150371789199,c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral']","A young women, in a black shirt, is holding a bike, while a young boy is holding a skateboard.",A young woman and young boy are holding hands.,43.0,0.0,57.0,c
2835793460.jpg#0r1n,2835793460.jpg#0r1n,n,"[0.15, 0.84, 0.01]","[15, 84, 1]",0.6882759652992883,n,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']","A young women, in a black shirt, is holding a bike, while a young boy is holding a skateboard.",A young woman and young boy are posing for a photo with their skateboard and bike.,84.0,15.0,1.0,n
4592281294.jpg#3r1n,4592281294.jpg#3r1n,n,"[0.15, 0.85, 0.0]","[15, 85, 0]",0.6098403047164005,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",A woman is smiling at a baby in a stroller in a meadow.,A woman is smiling at her child.,85.0,15.0,0.0,n
4241997277.jpg#3r1c,4241997277.jpg#3r1c,n,"[0.0, 0.71, 0.29]","[0, 71, 29]",0.8687212463394046,c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral']",A well dressed man and woman wearing floral dress dancing.,the man is actually a woman.,71.0,0.0,29.0,c
8111204604.jpg#2r1c,8111204604.jpg#2r1c,n,"[0.01, 0.84, 0.15]","[1, 84, 15]",0.6882759652992884,n,"['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']",A goalie is watching the action during a soccer game.,The goalie is sitting in the highest bench of the stadium.,84.0,1.0,15.0,c
8111204604.jpg#2r1e,8111204604.jpg#2r1e,n,"[0.31, 0.68, 0.01]","[31, 68, 1]",0.9685806015045626,e,"['entailment', 'entailment', 'neutral', 'neutral', 'entailment']",A goalie is watching the action during a soccer game.,The goalie is standing by the net as the soccer game takes place.,68.0,31.0,1.0,e
2207346072.jpg#2r1e,2207346072.jpg#2r1e,e,"[0.87, 0.13, 0.0]","[87, 13, 0]",0.557438185027989,e,"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']",Two men pull a fishing net up into their red boat.,Two men are fishing.,13.0,87.0,0.0,e
6553168529.jpg#3r1e,6553168529.jpg#3r1e,n,"[0.1, 0.89, 0.01]","[10, 89, 1]",0.5482606267258944,e,"['entailment', 'entailment', 'neutral', 'entailment', 'neutral']",Indian women playing musical chairs with white woman.,indian women playing musical chairs with white woman in out door,89.0,10.0,1.0,e
8018747908.jpg#4r1n,8018747908.jpg#4r1n,n,"[0.07, 0.93, 0.0]","[7, 93, 0]",0.36592365090022316,n,"['neutral', 'contradiction', 'entailment', 'neutral', 'neutral']",women in a hat a making selling goods.,A woman wearing a hat is selling goods to feed her family.,93.0,7.0,0.0,n
2554531876.jpg#4r1e,2554531876.jpg#4r1e,e,"[0.62, 0.26, 0.12]","[62, 26, 12]",1.2999446505316394,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']",A motorcycle races.,A bike is going fast.,26.0,62.0,12.0,e
2554531876.jpg#4r1n,2554531876.jpg#4r1n,n,"[0.01, 0.69, 0.3]","[1, 69, 30]",0.9569071359152326,n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",A motorcycle races.,A bike is racing a cheetah.,69.0,1.0,30.0,n
4931873269.jpg#1r1n,4931873269.jpg#1r1n,n,"[0.12, 0.78, 0.1]","[12, 78, 10]",0.9788541494868961,n,"['neutral', 'neutral', 'contradiction', 'entailment', 'neutral']",Three children play on the grass under a multicolored umbrella and wearing rainbow colored outfits.,Children celebrate color.,78.0,12.0,10.0,n
5737431445.jpg#3r1n,5737431445.jpg#3r1n,e,"[0.67, 0.32, 0.01]","[67, 32, 1]",0.9795764321680173,e,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",well dressed man and woman dancing in the street,A couple is dancing on the street.,32.0,67.0,1.0,n
822836318.jpg#1r1e,822836318.jpg#1r1e,e,"[0.58, 0.31, 0.11]","[58, 31, 11]",1.329888878330699,e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']",A child in winter gear is hiding inside a cave made of snow while it is snowing.,A kid is playing in the snow.,31.0,58.0,11.0,e
3612484827.jpg#2r1e,3612484827.jpg#2r1e,e,"[0.63, 0.26, 0.11]","[63, 26, 11]",1.2755180332029905,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']",A man is on the back of his friend.,A man is holding his friend.,26.0,63.0,11.0,e
305615920.jpg#3r1e,305615920.jpg#3r1e,e,"[0.66, 0.3, 0.04]","[66, 30, 4]",1.1024888923155898,e,"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']",Someone is taking a brown canoe down to the lake.,A person is carrying a canoe.,30.0,66.0,4.0,e
4661188536.jpg#1r1e,4661188536.jpg#1r1e,e,"[0.61, 0.36, 0.03]","[61, 36, 3]",1.117384538320497,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']",A man is riding on the back of a garbage truck.,A man catches a lift on a garbage truck.,36.0,61.0,3.0,e
6351255882.jpg#2r1n,6351255882.jpg#2r1n,n,"[0.44, 0.54, 0.02]","[44, 54, 2]",1.1140670264060408,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",Several people wearing foil crowns gathered around a table eating.,A group of people sat around eating dinner.,54.0,44.0,2.0,n
2225241766.jpg#2r1n,2225241766.jpg#2r1n,n,"[0.02, 0.91, 0.07]","[2, 91, 7]",0.5052482226498788,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",Man laying on a platform outside on some rocks.,Man lays is exhausted after running 3 miles.,91.0,2.0,7.0,n
3028404926.jpg#1r1e,3028404926.jpg#1r1e,e,"[0.91, 0.02, 0.07]","[91, 2, 7]",0.5052482226498788,e,"['entailment', 'contradiction', 'entailment', 'contradiction', 'entailment']",A child turning a crank with benches behind him.,The child is in front of benches.,2.0,91.0,7.0,e
435054077.jpg#1r1e,435054077.jpg#1r1e,e,"[0.81, 0.18, 0.01]","[81, 18, 1]",0.7579911871785623,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",A young woman sits crosslegged beside her purse on the grass among a crowd of dogs.,The dogs are standing around a crosslegged woman on the grass.,18.0,81.0,1.0,e
2855910826.jpg#0r1e,2855910826.jpg#0r1e,e,"[0.99, 0.01, 0.0]","[99, 1, 0]",0.08079313589591118,e,"['entailment', 'entailment', 'neutral', 'entailment', 'neutral']",A football player in a blue and yellow uniform is tackling another player in a white and gold uniform.,A football player is wearing blue and yellow.,1.0,99.0,0.0,e
6319053071.jpg#0r1n,6319053071.jpg#0r1n,n,"[0.03, 0.85, 0.12]","[3, 85, 12]",0.7181295189495048,c,"['neutral', 'neutral', 'contradiction', 'contradiction', 'contradiction']",A surfer wearing a red shirt takes on a huge blue wave.,Surfer wipes out on large wave.,85.0,3.0,12.0,n
4545817148.jpg#2r1n,4545817148.jpg#2r1n,n,"[0.12, 0.84, 0.04]","[12, 84, 4]",0.7641140545540274,n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']","An outside wedding ceremony for an asian couple under an umbrella, shielded from the blaring sun.",Asian people getting married by the beach.,84.0,12.0,4.0,n
121335612.jpg#3r1e,121335612.jpg#3r1e,n,"[0.39, 0.6, 0.01]","[39, 60, 1]",1.038414967053337,e,"['entailment', 'contradiction', 'entailment', 'neutral', 'entailment']",A man standing up in a rowboat with a bird perched on the boat.,A rowboat is out on the water with a man standing in it.,60.0,39.0,1.0,e
3151492269.jpg#3r1n,3151492269.jpg#3r1n,n,"[0.24, 0.65, 0.11]","[24, 65, 11]",1.2483886330830491,n,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']",Two dogs run around inside a fence.,Two puppies run around inside a fence.,65.0,24.0,11.0,n
8030378528.jpg#1r1e,8030378528.jpg#1r1e,e,"[0.94, 0.06, 0.0]","[94, 6, 0]",0.3274449191544763,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",Two bikers a riding along a street in a marathon as the passersby clap for them.,People cheer on the bikers.,6.0,94.0,0.0,e
298611438.jpg#0r1c,298611438.jpg#0r1c,n,"[0.01, 0.94, 0.05]","[1, 94, 5]",0.3664462644533775,n,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']",A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl has a black hat on.,94.0,1.0,5.0,c
4770860799.jpg#4r1e,4770860799.jpg#4r1e,n,"[0.31, 0.64, 0.05]","[31, 64, 5]",1.1519589288104253,n,"['entailment', 'neutral', 'neutral', 'neutral', 'contradiction']",a man in a red shirt looking at a woman with red-hair,A person is leering at another.,64.0,31.0,5.0,e
3782716564.jpg#2r1n,3782716564.jpg#2r1n,n,"[0.28, 0.7, 0.02]","[28, 70, 2]",0.987298699737119,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",The young girl cools off by sliding on the water slide.,The girl is at a water park.,70.0,28.0,2.0,n
6647902055.jpg#4r1n,6647902055.jpg#4r1n,n,"[0.14, 0.72, 0.14]","[14, 72, 14]",1.1354508105601309,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",There is not an image here.,There is only a single color displayed instead of an image.,72.0,14.0,14.0,n
3042381160.jpg#1r1e,3042381160.jpg#1r1e,n,"[0.1, 0.9, 0.0]","[10, 90, 0]",0.46899559358928117,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",A man is working on a computer while two people sit and talk in front.,A man works on a computer while two people sit and chat about business.,90.0,10.0,0.0,e
233581449.jpg#4r1e,233581449.jpg#4r1e,e,"[0.97, 0.03, 0.0]","[97, 3, 0]",0.1943918578315762,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']",A woman playing with her cats while taking pictures.,A woman is spending time with her cats.,3.0,97.0,0.0,e
233581449.jpg#4r1n,233581449.jpg#4r1n,n,"[0.12, 0.82, 0.06]","[12, 82, 6]",0.8453702958580881,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",A woman playing with her cats while taking pictures.,A woman is encouraging two cats to interact with one another.,82.0,12.0,6.0,n
3455964125.jpg#0r1n,3455964125.jpg#0r1n,n,"[0.05, 0.82, 0.13]","[5, 82, 13]",0.8335099778851861,n,"['neutral', 'contradiction', 'entailment', 'neutral', 'neutral']","A young woman dressed as a princess is waving to others from inside a ride where the carriage is a large replica of the Disney character, Dumbo.",A young woman dressed as a princess is waving to the crowd in the Macy's parade.,82.0,5.0,13.0,n
476477265.jpg#0r1n,476477265.jpg#0r1n,n,"[0.35, 0.64, 0.01]","[35, 64, 1]",1.0086071338439866,e,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus.,A homeless woman sleeps under the protective gaze of the Blessed Mother.,64.0,35.0,1.0,n
462080147.jpg#3r1e,462080147.jpg#3r1e,n,"[0.17, 0.68, 0.15]","[17, 68, 15]",1.2234791853706584,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",a man holding a bottle of wine with a box on his head,The man is hiding his face with the box on his head.,68.0,17.0,15.0,e
3652207174.jpg#2r1n,3652207174.jpg#2r1n,n,"[0.46, 0.53, 0.01]","[46, 53, 1]",1.0672198490700033,n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",A blond woman is holding 2 golf balls while reaching down into a golf hole.,The blonde woman is playing golf.,53.0,46.0,1.0,n
3177282493.jpg#2r1n,3177282493.jpg#2r1n,n,"[0.04, 0.48, 0.48]","[4, 48, 48]",1.2022921890824148,n,"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']",Two horse riders and three walkers are going down a dusty path.,Five people in the rain on a path,48.0,4.0,48.0,n
2087469385.jpg#1r1c,2087469385.jpg#1r1c,n,"[0.02, 0.96, 0.02]","[2, 96, 2]",0.2822921890824148,n,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']","In autumn, a man holding a box approaches a red truck in a parking lot.",The man is delivering the box to the old lady in the parking lot.,96.0,2.0,2.0,c
2087469385.jpg#1r1n,2087469385.jpg#1r1n,n,"[0.2, 0.64, 0.16]","[20, 64, 16]",1.2994705707972523,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'entailment']","In autumn, a man holding a box approaches a red truck in a parking lot.",The man is carrying the box to his car.,64.0,20.0,16.0,n
